,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
48,|(2) Initialization|model|Xavier_model_0,_1_26,5215.2534,50063.16796875,0.031065428629517555,0.00945069935321998
49,|(2) Initialization|model|Xavier_model_0,_1_19,4313.6553,35319.99609375,0.03908255696296692,0.0423455116398113
50,|(2) Initialization|model|Xavier_model_0,_1_62,4977.167,43670.71484375,0.0448017418384552,0.03552670517740512
51,|(2) Initialization|model|Xavier_model_0,_1_96,4422.2534,39175.890625,0.038173723965883255,0.06558471511569187
52,|(2) Initialization|model|Xavier_model_0,_1_91,4766.499,32121.43359375,0.0494711697101593,0.021284705179068643
53,|(2) Initialization|model|Xavier_model_0,_1_65,4335.048,41009.23828125,0.0423286035656929,0.007999195533874109
54,|(2) Initialization|model|Xavier_model_0,_1_53,4616.2207,33198.06640625,0.04238640144467354,0.03944350691876096
55,|(2) Initialization|model|Xavier_model_0,_1_98,4747.5303,39060.48046875,0.04930936545133591,0.029657608698307573
56,|(2) Initialization|model|Xavier_model_0,_1_54,4344.993,37501.6171875,0.005493025295436382,0.02918464354149403
57,|(2) Initialization|model|Xavier_model_0,_1_38,4668.5894,47094.97265625,0.03205881267786026,0.022449109590849253
58,|(2) Initialization|model|Xavier_model_0,_1_31,4189.7207,41239.60546875,0.03924241289496422,0.03272976075411091
59,|(2) Initialization|model|Xavier_model_0,_1_36,4915.865,43694.52734375,0.038721270859241486,0.02728570417500996
60,|(2) Initialization|model|Xavier_model_0,_1_55,4539.1504,29101.58203125,0.051131948828697205,0.036130965036387845
61,|(2) Initialization|model|Xavier_model_0,_1_52,4535.372,52624.390625,0.021679682657122612,0.003776453311901396
62,|(2) Initialization|model|Xavier_model_0,_1_99,4547.7295,39236.125,0.038018230348825455,0.0328663996322819
63,|(2) Initialization|model|Xavier_model_0,_1_64,5590.199,24353.083984375,0.02891847863793373,0.03024041938659731
64,|(2) Initialization|model|Xavier_model_0,_1_90,4394.1475,48016.02734375,0.06004318594932556,0.027551202930718284
65,|(2) Initialization|model|Xavier_model_0,_1_97,4489.55,36039.82421875,0.04292036592960358,0.02731529859888235
66,|(2) Initialization|model|Xavier_model_0,_1_63,4699.749,47362.76953125,0.03293958306312561,0.008564990501620006
67,|(2) Initialization|model|Xavier_model_0,_1_37,4698.419,69073.7109375,0.039279691874980927,0.012794887806898272
68,|(2) Initialization|model|Xavier_model_0,_1_30,4960.8696,38292.375,0.03527426719665527,0.0437818296733891
69,|(2) Initialization|model|Xavier_model_0,_1_39,4595.3984,50518.61328125,0.031198984012007713,0.013301615906036924
70,|(2) Initialization|model|Xavier_model_0,_1_100,4271.682,30312.0078125,0.05822627618908882,0.02957249474948212
71,|(2) Initialization|model|Xavier_model_0,_1_8,4599.8906,52294.0,0.015342501923441887,0.0
72,|(2) Initialization|model|Xavier_model_0,_1_1,4584.3633,37978.61328125,0.024334071204066277,0.03664488337606252
73,|(2) Initialization|model|Xavier_model_0,_1_6,4312.3525,47911.703125,0.034494347870349884,0.02511263637649157
74,|(2) Initialization|model|Xavier_model_0,_1_7,4633.4497,37729.49609375,0.054293472319841385,0.016669264088779705
75,|(2) Initialization|model|Xavier_model_0,_1_9,3927.7766,65526.0546875,0.040019381791353226,0.0014467313969231438
76,|(2) Initialization|model|Xavier_model_0,_1_23,4568.8477,38998.3125,0.0,0.0016870667093246646
77,|(2) Initialization|model|Xavier_model_0,_1_24,4779.692,37059.80859375,0.03775912523269653,0.026760266943391627
78,|(2) Initialization|model|Xavier_model_0,_1_12,4109.8276,44128.78515625,0.04479881376028061,0.04174489425171857
79,|(2) Initialization|model|Xavier_model_0,_1_15,4379.6357,63787.84765625,0.040773529559373856,0.021903348372901508
80,|(2) Initialization|model|Xavier_model_0,_1_41,4770.166,53432.8671875,0.030338682234287262,0.03228233344391376
81,|(2) Initialization|model|Xavier_model_0,_1_79,4737.457,41145.859375,0.03736712783575058,0.020628852216376215
82,|(2) Initialization|model|Xavier_model_0,_1_46,4308.7764,27450.732421875,0.044988665729761124,0.04260101287214023
83,|(2) Initialization|model|Xavier_model_0,_1_70,4814.4116,25532.390625,0.026516851037740707,0.03399667349598602
84,|(2) Initialization|model|Xavier_model_0,_1_84,4533.346,55509.61328125,0.04432406648993492,0.016148829731625517
85,|(2) Initialization|model|Xavier_model_0,_1_48,4420.249,57631.08984375,0.010788330808281898,0.034126743693654565
86,|(2) Initialization|model|Xavier_model_0,_1_83,4444.796,35570.85546875,0.042688269168138504,0.023519470733843136
87,|(2) Initialization|model|Xavier_model_0,_1_77,4511.7075,42713.67578125,0.01617300696671009,0.021613233498563564
88,|(2) Initialization|model|Xavier_model_0,_1_14,4517.769,54240.4921875,0.019266502931714058,0.03240747439773407
89,|(2) Initialization|model|Xavier_model_0,_1_13,4845.1006,50541.49609375,0.02158128097653389,0.014255234921695205
90,|(2) Initialization|model|Xavier_model_0,_1_25,4434.015,34423.1796875,0.029862578958272934,0.021941389557858362
91,|(2) Initialization|model|Xavier_model_0,_1_22,4904.066,63863.125,0.02887824922800064,0.032559462360052416
92,|(2) Initialization|model|Xavier_model_0,_1_49,5244.1772,32420.875,0.017536533996462822,0.03051921918180028
93,|(2) Initialization|model|Xavier_model_0,_1_76,5121.9766,40971.1640625,0.03680761158466339,0.0
94,|(2) Initialization|model|Xavier_model_0,_1_82,4597.076,48737.859375,0.035313695669174194,0.02284626279878143
95,|(2) Initialization|model|Xavier_model_0,_1_85,4819.9595,63215.54296875,0.03407910838723183,0.0041759150631526165
96,|(2) Initialization|model|Xavier_model_0,_1_71,4899.935,55478.0859375,0.02737581729888916,0.030257443600956425
97,|(2) Initialization|model|Xavier_model_0,_1_78,4470.284,58256.20703125,0.03206852078437805,0.03324654000508425
98,|(2) Initialization|model|Xavier_model_0,_1_47,4811.446,35598.71875,0.02971845120191574,0.03844097919524386
99,|(2) Initialization|model|Xavier_model_0,_1_40,4153.5903,66311.40625,0.034604065120220184,0.028742019576792177
100,|(2) Initialization|model|Orthogonal_model_1,_1_35,4439.386,81445.09375,0.023516634479165077,0.0
101,|(2) Initialization|model|Orthogonal_model_1,_1_32,4546.544,66415.328125,0.03514275699853897,0.007173392513090694
102,|(2) Initialization|model|Orthogonal_model_1,_1_92,4361.384,53424.76171875,0.035694412887096405,0.016845342963378883
