,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Local_model_4,_1_9,3867.527,49499.0390625,0.17166978120803833,0.09624999123813584
1,|Local_model_4,_1_61,3922.6318,36864.515625,0.10831151902675629,0.0
2,|Local_model_4,_1_89,4005.6672,37054.96875,0.24809537827968597,0.16500054299602626
3,|Local_model_4,_1_40,4011.5903,56043.73046875,0.2067076861858368,0.1194681906319756
4,|Local_model_4,_1_54,4025.3113,25745.240234375,0.21268205344676971,0.2055115781429081
5,|Local_model_4,_1_43,4057.4404,44263.2421875,0.20992198586463928,0.17179977874302937
6,|Local_model_4,_1_29,4095.2578,42016.94921875,0.19753025472164154,0.18857399793446014
7,|Local_model_4,_1_35,4095.4248,58267.375,0.16830380260944366,0.18928928056903727
8,|Local_model_4,_1_12,4102.829,35332.0,0.22922995686531067,0.14797244024095607
9,|Local_model_4,_1_48,4107.075,53373.4609375,0.15245665609836578,0.22904790934472566
10,|Local_model_4,_1_3,4114.568,26981.080078125,0.15383243560791016,0.1873782875870545
11,|Local_model_4,_1_31,4128.702,30155.361328125,0.20198096334934235,0.16938996434588616
12,|Local_model_4,_1_10,4146.075,59281.203125,0.05936477333307266,0.19285203978614007
13,|Local_model_4,_1_51,4155.1055,49157.484375,0.13260674476623535,0.1264927960119623
14,|Local_model_4,_1_77,4178.537,39050.5703125,0.05596381798386574,0.11294695706755396
15,|Local_model_4,_1_87,4213.328,51031.7109375,0.1625194549560547,0.22932859944225523
16,|Local_model_4,_1_45,4213.4697,28965.34765625,0.19011449813842773,0.1568942837594017
17,|Local_model_4,_1_15,4218.0327,55144.609375,0.245805561542511,0.128684113193467
18,|Local_model_4,_1_68,4218.898,33278.87890625,0.16906259953975677,0.17771294201992222
19,|Local_model_4,_1_57,4219.8184,20364.232421875,0.14112325012683868,0.21674651488853328
20,|Local_model_4,_1_78,4236.484,47366.05078125,0.21297737956047058,0.1042154211791258
21,|Local_model_4,_1_19,4250.9883,31945.275390625,0.08824801445007324,0.06017278307661565
22,|Local_model_4,_1_14,4269.0615,45169.19140625,0.16113178431987762,0.19752430596979254
23,|Local_model_4,_1_32,4270.69,55620.4765625,0.16246271133422852,0.23688311743758378
24,|Local_model_4,_1_6,4271.3564,32805.0546875,0.0440664142370224,0.21665181205858122
