,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Flexible_DDQN|Complete_model_3,_1_35,4167.2485,90716.3671875,0.04594774171710014,0.0
1,|Flexible_DDQN|Complete_model_3,_1_32,4283.497,86010.390625,0.043518245220184326,0.0
2,|Flexible_DDQN|Complete_model_3,_1_92,4306.7236,70885.0546875,0.03431329131126404,0.0
3,|Flexible_DDQN|Complete_model_3,_1_66,4334.415,73207.2578125,0.0658629760146141,0.0
4,|Flexible_DDQN|Complete_model_3,_1_59,4802.8257,34237.390625,0.038018811494112015,0.009793308279307699
5,|Flexible_DDQN|Complete_model_3,_1_61,3978.117,71432.7265625,0.030844729393720627,0.005687431254397356
6,|Flexible_DDQN|Complete_model_3,_1_95,4114.3066,59896.21875,0.06496317684650421,0.011953525042516195
7,|Flexible_DDQN|Complete_model_3,_1_57,4264.4507,52599.58984375,0.03315991908311844,0.0
8,|Flexible_DDQN|Complete_model_3,_1_68,4285.9175,57302.44140625,0.03579339757561684,0.0
9,|Flexible_DDQN|Complete_model_3,_1_50,4699.4546,62491.28125,0.021463677287101746,0.014366632700018107
10,|Flexible_DDQN|Complete_model_3,_1_33,4977.609,79578.4765625,0.026774225756525993,0.004909269793920223
11,|Flexible_DDQN|Complete_model_3,_1_34,4597.954,28480.904296875,0.053507883101701736,0.005942302788744384
12,|Flexible_DDQN|Complete_model_3,_1_51,4132.6543,73718.140625,0.038864221423864365,0.0018204526999604667
13,|Flexible_DDQN|Complete_model_3,_1_56,4273.8633,43460.9921875,0.04867951571941376,0.0038358399980771883
14,|Flexible_DDQN|Complete_model_3,_1_69,4498.443,53199.72265625,0.04313672333955765,0.008776654965653443
15,|Flexible_DDQN|Complete_model_3,_1_94,4618.179,67531.046875,0.045907214283943176,0.0
16,|Flexible_DDQN|Complete_model_3,_1_60,5036.032,38696.99609375,0.035227615386247635,0.0
17,|Flexible_DDQN|Complete_model_3,_1_67,4305.591,73360.03125,0.04696818068623543,0.0
18,|Flexible_DDQN|Complete_model_3,_1_93,4444.67,51710.8828125,0.03209321200847626,0.0001276557606744241
19,|Flexible_DDQN|Complete_model_3,_1_58,4415.331,36679.65625,0.035336244851350784,0.006214945172667342
20,|Flexible_DDQN|Complete_model_3,_1_5,4568.9434,76929.8359375,0.06936031579971313,0.0038857598815722452
21,|Flexible_DDQN|Complete_model_3,_1_2,4439.938,92364.921875,0.04762523993849754,0.0038012442174552986
22,|Flexible_DDQN|Complete_model_3,_1_3,4236.568,57567.3671875,0.014726872555911541,0.0017236528505042738
23,|Flexible_DDQN|Complete_model_3,_1_4,5029.723,54545.31640625,0.06278035789728165,0.0036701087443125075
24,|Flexible_DDQN|Complete_model_3,_1_45,4188.671,54321.19921875,0.049668703228235245,0.0
25,|Flexible_DDQN|Complete_model_3,_1_89,4138.0957,53349.2890625,0.030976492911577225,0.014922580634136994
26,|Flexible_DDQN|Complete_model_3,_1_42,4572.7207,70173.8046875,0.040740519762039185,0.0055455852001424655
27,|Flexible_DDQN|Complete_model_3,_1_80,4589.909,60059.76171875,0.045421052724123,0.0
28,|Flexible_DDQN|Complete_model_3,_1_74,4788.3975,53278.52734375,0.03536828234791756,0.005390646159947815
29,|Flexible_DDQN|Complete_model_3,_1_73,5089.8804,53573.47265625,0.008974460884928703,0.0
30,|Flexible_DDQN|Complete_model_3,_1_87,4197.328,77276.828125,0.03979926556348801,0.007910538247140293
31,|Flexible_DDQN|Complete_model_3,_1_27,4407.1157,54521.94921875,0.0764949694275856,0.005962838182072136
32,|Flexible_DDQN|Complete_model_3,_1_18,4267.8887,57657.22265625,0.05243480205535889,0.005294697804011227
33,|Flexible_DDQN|Complete_model_3,_1_20,4302.1826,40487.578125,0.05569677799940109,0.0041294807598585255
34,|Flexible_DDQN|Complete_model_3,_1_16,4841.5835,48674.16796875,0.0049134488217532635,0.01004591298615514
35,|Flexible_DDQN|Complete_model_3,_1_29,4059.5947,78900.25,0.05063598230481148,0.0
36,|Flexible_DDQN|Complete_model_3,_1_11,4540.2646,51360.0703125,0.042951878160238266,0.0
37,|Flexible_DDQN|Complete_model_3,_1_86,4534.2886,46766.3828125,0.03696095943450928,0.0
38,|Flexible_DDQN|Complete_model_3,_1_72,4661.6963,61356.53515625,0.0363323800265789,0.01758179765650446
39,|Flexible_DDQN|Complete_model_3,_1_75,4382.5234,42027.00390625,0.04394310340285301,0.00937788293764442
40,|Flexible_DDQN|Complete_model_3,_1_81,4822.46,46446.2421875,0.03541681915521622,0.0136368458196553
41,|Flexible_DDQN|Complete_model_3,_1_88,4493.7793,55264.703125,0.06853654980659485,0.0
42,|Flexible_DDQN|Complete_model_3,_1_43,4200.156,75739.5859375,0.04012005776166916,0.006761620510535404
43,|Flexible_DDQN|Complete_model_3,_1_44,4246.7544,70766.734375,0.04866935312747955,0.006367229109942377
44,|Flexible_DDQN|Complete_model_3,_1_10,4240.5957,94811.84375,0.01714218221604824,0.00857866927660332
45,|Flexible_DDQN|Complete_model_3,_1_17,4688.107,71833.265625,0.027837609872221947,0.0016550086145526363
46,|Flexible_DDQN|Complete_model_3,_1_28,4000.727,99758.1640625,0.07811416685581207,0.0
47,|Flexible_DDQN|Complete_model_3,_1_21,4834.273,55049.4296875,0.04033033549785614,0.0
48,|Flexible_DDQN|Complete_model_3,_1_26,4915.285,54145.84375,0.05077830329537392,0.01578020470003069
49,|Flexible_DDQN|Complete_model_3,_1_19,4204.7437,49480.8359375,0.041754912585020065,0.008148555876681245
50,|Flexible_DDQN|Complete_model_3,_1_62,4978.764,57088.66015625,0.05759067088365555,0.0
51,|Flexible_DDQN|Complete_model_3,_1_96,4445.059,72927.328125,0.03953356668353081,0.0
52,|Flexible_DDQN|Complete_model_3,_1_91,4746.265,38967.6171875,0.045091960579156876,0.0
53,|Flexible_DDQN|Complete_model_3,_1_65,4328.835,48790.3828125,0.0487787239253521,0.00401960289772794
54,|Flexible_DDQN|Complete_model_3,_1_53,4599.122,41334.50390625,0.03665294498205185,0.0035723069257189125
55,|Flexible_DDQN|Complete_model_3,_1_98,4810.856,42860.58984375,0.03501833230257034,0.00802824156537795
