,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Local_model_4,_1_35,3856.3896,65057.55859375,0.5230226516723633,0.1248000258126449
1,|Local_model_4,_1_32,4189.989,60267.33984375,0.38101911544799805,0.1246731245348943
2,|Local_model_4,_1_92,4298.161,46731.5703125,0.16367462277412415,0.013493940079647479
3,|Local_model_4,_1_66,4274.575,52612.1796875,0.2570459842681885,0.0
4,|Local_model_4,_1_59,4675.3203,24499.4296875,0.2409224957227707,0.10716216803087
5,|Local_model_4,_1_61,3918.5137,42017.515625,0.2366182804107666,0.0
6,|Local_model_4,_1_95,4469.773,48363.42578125,0.19193236529827118,0.0
7,|Local_model_4,_1_57,4225.403,27206.369140625,0.20905429124832153,0.0
8,|Local_model_4,_1_68,4364.2837,38395.24609375,0.17186647653579712,0.10689155942534473
9,|Local_model_4,_1_50,4627.6807,56027.72265625,0.23900282382965088,0.0
10,|Local_model_4,_1_33,4780.8896,57665.10546875,0.34195178747177124,0.0
11,|Local_model_4,_1_34,4550.117,20004.97265625,0.27270376682281494,0.0
12,|Local_model_4,_1_51,4176.6357,59373.93359375,0.15568633377552032,0.0
13,|Local_model_4,_1_56,4322.99,31381.814453125,0.15870830416679382,0.0
14,|Local_model_4,_1_69,4500.443,41243.1328125,0.19301849603652954,0.0
15,|Local_model_4,_1_94,4618.179,47289.48046875,,0.0
16,|Local_model_4,_1_60,5020.343,31689.640625,0.17281880974769592,0.0
17,|Local_model_4,_1_67,4288.1045,43317.140625,0.2609180510044098,0.07477372640817759
18,|Local_model_4,_1_93,4422.2627,43743.578125,0.1842431277036667,0.0
19,|Local_model_4,_1_58,4325.3926,25187.775390625,0.2450401932001114,0.0
20,|Local_model_4,_1_5,4642.7227,59361.171875,0.3255671262741089,0.0
21,|Local_model_4,_1_2,4746.195,67004.4296875,0.12366805225610733,0.0
22,|Local_model_4,_1_3,4210.568,30516.560546875,0.0982535257935524,0.0
23,|Local_model_4,_1_4,5124.723,41436.765625,0.25502315163612366,0.0
24,|Local_model_4,_1_45,4215.4844,39175.3984375,0.22764644026756287,0.0
25,|Local_model_4,_1_89,4036.6672,42449.859375,0.24787914752960205,0.0
26,|Local_model_4,_1_42,4594.887,49063.921875,0.22002065181732178,0.0
27,|Local_model_4,_1_80,4591.6865,39664.71875,0.28677433729171753,0.0
28,|Local_model_4,_1_74,4839.575,44426.06640625,0.18136480450630188,0.0
29,|Local_model_4,_1_73,4893.431,31063.986328125,0.3088720142841339,0.10253588689356316
30,|Local_model_4,_1_87,4271.328,56780.3984375,0.14926597476005554,0.16960643480429122
31,|Local_model_4,_1_27,4727.524,37513.74609375,0.17837205529212952,0.0
32,|Local_model_4,_1_18,4371.122,41634.40234375,0.24630078673362732,0.04366714897023058
33,|Local_model_4,_1_20,4352.502,27208.853515625,0.1390102654695511,0.0
34,|Local_model_4,_1_16,4490.201,37957.5234375,0.22475729882717133,0.06437928294514236
35,|Local_model_4,_1_29,4126.261,48920.0234375,0.2154594361782074,0.0
36,|Local_model_4,_1_11,4543.5083,31549.5234375,0.21938416361808777,0.03346676021373023
37,|Local_model_4,_1_86,4542.562,31188.294921875,0.1768006533384323,0.0
38,|Local_model_4,_1_72,4649.128,49163.7578125,0.26064249873161316,0.13294829602119565
