,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|(2) Initialization|model|Xavier_model_0,_1_35,4440.951,65082.9765625,0.02681984007358551,0.039343114292707114
1,|(2) Initialization|model|Xavier_model_0,_1_32,4619.544,57671.77734375,0.032017309218645096,0.04265008968611112
2,|(2) Initialization|model|Xavier_model_0,_1_92,4180.3506,48444.109375,0.04906851053237915,0.03762989926920191
3,|(2) Initialization|model|Xavier_model_0,_1_66,4562.7773,58049.3046875,0.03379859775304794,0.022738859065209744
4,|(2) Initialization|model|Xavier_model_0,_1_59,4727.1562,26344.931640625,0.050617799162864685,0.03968995471714567
5,|(2) Initialization|model|Xavier_model_0,_1_61,3858.0786,50787.8515625,0.04906057193875313,0.024347738803371714
6,|(2) Initialization|model|Xavier_model_0,_1_95,4250.5503,46745.33984375,0.04817080870270729,0.037816410540522254
7,|(2) Initialization|model|Xavier_model_0,_1_57,4262.62,42288.5625,0.036723293364048004,0.007434210680903115
8,|(2) Initialization|model|Xavier_model_0,_1_68,4332.8877,47103.90625,0.03340993821620941,0.019432474228518883
9,|(2) Initialization|model|Xavier_model_0,_1_50,4672.913,51489.1796875,0.036622751504182816,0.038490916883367754
10,|(2) Initialization|model|Xavier_model_0,_1_33,5077.696,63136.4453125,0.01908581517636776,0.01564193087772935
11,|(2) Initialization|model|Xavier_model_0,_1_34,4514.649,25907.435546875,0.0520392507314682,0.024593441594968506
12,|(2) Initialization|model|Xavier_model_0,_1_51,4194.37,58589.6875,0.03603310137987137,0.0327141749979985
13,|(2) Initialization|model|Xavier_model_0,_1_56,4315.497,36304.5078125,0.03367302566766739,0.03275858289223413
14,|(2) Initialization|model|Xavier_model_0,_1_69,4827.852,42003.3515625,0.024079954251646996,0.0433586971510351
15,|(2) Initialization|model|Xavier_model_0,_1_94,4618.179,53805.125,0.038858380168676376,0.026294990785927175
16,|(2) Initialization|model|Xavier_model_0,_1_60,5121.22,28885.810546875,0.03250899910926819,0.03770527902346057
17,|(2) Initialization|model|Xavier_model_0,_1_67,4301.3247,53284.1171875,0.05351023003458977,0.028166603965114174
18,|(2) Initialization|model|Xavier_model_0,_1_93,4444.67,47941.22265625,0.03575609624385834,0.010231002803969772
19,|(2) Initialization|model|Xavier_model_0,_1_58,4407.83,22166.0,0.03762361407279968,0.059588307165088276
20,|(2) Initialization|model|Xavier_model_0,_1_5,4632.6807,64634.1171875,0.041472677141427994,0.008000540386806466
21,|(2) Initialization|model|Xavier_model_0,_1_2,4984.9824,71607.671875,0.009593285620212555,0.028140907794012102
22,|(2) Initialization|model|Xavier_model_0,_1_3,4133.7056,45360.44921875,0.03882097825407982,0.011256829644876435
23,|(2) Initialization|model|Xavier_model_0,_1_4,5164.2036,52305.1484375,0.032958369702100754,0.0
24,|(2) Initialization|model|Xavier_model_0,_1_45,4210.9243,34047.203125,0.039432622492313385,0.04903721072801547
25,|(2) Initialization|model|Xavier_model_0,_1_89,4106.9736,44186.9765625,0.0426635667681694,0.03050515105943397
26,|(2) Initialization|model|Xavier_model_0,_1_42,4952.9937,48287.30859375,0.0,0.038338361430466296
27,|(2) Initialization|model|Xavier_model_0,_1_80,4970.4614,48097.5859375,0.01956932619214058,0.018961317493383086
28,|(2) Initialization|model|Xavier_model_0,_1_74,4766.1484,49505.296875,0.04070081189274788,0.021446998675457067
29,|(2) Initialization|model|Xavier_model_0,_1_73,5127.5684,41954.76171875,0.011298764497041702,0.02304486147796418
30,|(2) Initialization|model|Xavier_model_0,_1_87,4198.328,52723.6171875,0.04184044152498245,0.05930762185325161
31,|(2) Initialization|model|Xavier_model_0,_1_27,4753.524,37133.5703125,0.0064839511178433895,0.0404876726512594
32,|(2) Initialization|model|Xavier_model_0,_1_18,4386.712,44156.02734375,0.038466040045022964,0.03215505640096473
33,|(2) Initialization|model|Xavier_model_0,_1_20,4308.0044,33594.6171875,0.04302399232983589,0.021288828226405522
34,|(2) Initialization|model|Xavier_model_0,_1_16,4893.91,38137.15625,0.013282522559165955,0.03788095820701397
35,|(2) Initialization|model|Xavier_model_0,_1_29,4101.583,54638.984375,0.0557887926697731,0.024374661771250316
36,|(2) Initialization|model|Xavier_model_0,_1_11,4554.0654,36551.73828125,0.04260046035051346,0.028754110526582593
37,|(2) Initialization|model|Xavier_model_0,_1_86,4513.0933,33617.6640625,0.03898026421666145,0.032970345162025565
38,|(2) Initialization|model|Xavier_model_0,_1_72,4649.2344,53351.88671875,0.03936709463596344,0.023767243896306973
39,|(2) Initialization|model|Xavier_model_0,_1_75,4396.7266,36091.03125,0.044176504015922546,0.034016119988485305
40,|(2) Initialization|model|Xavier_model_0,_1_81,4843.845,41317.5859375,0.03588449954986572,0.024927274454693622
41,|(2) Initialization|model|Xavier_model_0,_1_88,4572.7705,48172.25390625,0.046359699219465256,0.011552693645559825
42,|(2) Initialization|model|Xavier_model_0,_1_43,4166.468,57618.8828125,0.039709970355033875,0.028288897402232834
43,|(2) Initialization|model|Xavier_model_0,_1_44,4456.5576,54189.98046875,0.03077712282538414,0.04104125838847827
44,|(2) Initialization|model|Xavier_model_0,_1_10,4239.0938,69933.9453125,0.025861678645014763,0.030698548987745086
45,|(2) Initialization|model|Xavier_model_0,_1_17,4665.6895,61617.22265625,0.03208254277706146,0.0042389788233807985
46,|(2) Initialization|model|Xavier_model_0,_1_28,4358.029,71392.796875,0.025493277236819267,0.020861843402799205
47,|(2) Initialization|model|Xavier_model_0,_1_21,4937.5596,42264.078125,0.01613932102918625,0.025417091031258998
48,|(2) Initialization|model|Xavier_model_0,_1_26,5001.255,50017.92578125,0.04194178059697151,0.022449570925136244
49,|(2) Initialization|model|Xavier_model_0,_1_19,4511.1006,40137.328125,0.018728353083133698,0.02870859828401579
50,|(2) Initialization|model|Xavier_model_0,_1_62,4974.1016,42044.73046875,0.04173530638217926,0.043562522715273326
51,|(2) Initialization|model|Xavier_model_0,_1_96,4156.635,47010.4609375,0.060857661068439484,0.04256286313668839
52,|(2) Initialization|model|Xavier_model_0,_1_91,4807.135,33649.5,0.036732252687215805,0.01723915611677817
53,|(2) Initialization|model|Xavier_model_0,_1_65,4318.691,33677.8828125,0.04382692649960518,0.04119481242984845
54,|(2) Initialization|model|Xavier_model_0,_1_53,4631.2207,38108.01171875,0.03769553825259209,0.022877196967045803
55,|(2) Initialization|model|Xavier_model_0,_1_98,4737.5303,42357.8828125,0.05621989071369171,0.010253734257070886
56,|(2) Initialization|model|Xavier_model_0,_1_54,4286.794,36257.05078125,0.016132602468132973,0.038013927211859165
57,|(2) Initialization|model|Xavier_model_0,_1_38,4828.431,42753.4296875,0.006559374276548624,0.03576155222073691
58,|(2) Initialization|model|Xavier_model_0,_1_31,4198.1387,36065.6484375,0.035718973726034164,0.04987822217107911
59,|(2) Initialization|model|Xavier_model_0,_1_36,4939.8774,43847.203125,0.033661212772130966,0.028443702718678576
60,|(2) Initialization|model|Xavier_model_0,_1_55,4910.7866,36110.171875,0.02415485307574272,0.0014198153502455993
61,|(2) Initialization|model|Xavier_model_0,_1_52,4309.7324,44574.16015625,0.04046767204999924,0.03912702067962905
62,|(2) Initialization|model|Xavier_model_0,_1_99,4510.676,47396.53125,0.04061555117368698,0.0059145800371900575
63,|(2) Initialization|model|Xavier_model_0,_1_64,5431.7847,26071.01953125,0.055774662643671036,0.01757448582645813
64,|(2) Initialization|model|Xavier_model_0,_1_90,4570.6123,51299.30859375,0.045047711580991745,0.014413470558706735
65,|(2) Initialization|model|Xavier_model_0,_1_97,4492.55,34837.390625,0.042032212018966675,0.03366267959994765
66,|(2) Initialization|model|Xavier_model_0,_1_63,4695.749,44036.6484375,0.03488520532846451,0.02658433682451335
67,|(2) Initialization|model|Xavier_model_0,_1_37,4638.906,75541.84375,0.04028383269906044,0.0
68,|(2) Initialization|model|Xavier_model_0,_1_30,5018.462,42690.7734375,0.03222851827740669,0.026109636204009964
69,|(2) Initialization|model|Xavier_model_0,_1_39,4535.4116,45297.78125,0.038915738463401794,0.03862364106777223
70,|(2) Initialization|model|Xavier_model_0,_1_100,4298.078,30072.427734375,0.04837016388773918,0.03338205406171948
71,|(2) Initialization|model|Xavier_model_0,_1_8,4579.2607,42271.49609375,0.020180243998765945,0.05042677858915952
72,|(2) Initialization|model|Xavier_model_0,_1_1,4371.9478,39281.12890625,0.057147759944200516,0.03260609468547704
73,|(2) Initialization|model|Xavier_model_0,_1_6,4080.5046,48127.0390625,0.04555872082710266,0.026840846839656943
74,|(2) Initialization|model|Xavier_model_0,_1_7,4646.234,35813.74609375,0.04388968273997307,0.025355305651794363
75,|(2) Initialization|model|Xavier_model_0,_1_9,4017.527,59585.03515625,0.02613447979092598,0.030304939626199012
76,|(2) Initialization|model|Xavier_model_0,_1_23,4483.9297,29976.845703125,0.029571615159511566,0.048562199922682556
77,|(2) Initialization|model|Xavier_model_0,_1_24,4785.692,43973.3203125,0.03485827520489693,0.0
78,|(2) Initialization|model|Xavier_model_0,_1_12,4127.298,52783.0546875,0.042157601565122604,0.010275835406271755
79,|(2) Initialization|model|Xavier_model_0,_1_15,4397.4736,54957.19140625,0.037249818444252014,0.048845045933300336
80,|(2) Initialization|model|Xavier_model_0,_1_41,4529.844,46328.74609375,0.04692136123776436,0.051025860610056824
81,|(2) Initialization|model|Xavier_model_0,_1_79,4701.271,37396.4375,0.039263807237148285,0.040999741372704235
82,|(2) Initialization|model|Xavier_model_0,_1_46,4325.7764,28365.958984375,0.04012751579284668,0.0385288654861933
83,|(2) Initialization|model|Xavier_model_0,_1_70,4939.887,33040.875,0.0031877115834504366,0.007072707011650767
84,|(2) Initialization|model|Xavier_model_0,_1_84,4701.09,48853.52734375,0.020330239087343216,0.041757117394671965
85,|(2) Initialization|model|Xavier_model_0,_1_48,4155.249,58332.75,0.041270773857831955,0.03291819147143792
86,|(2) Initialization|model|Xavier_model_0,_1_83,4423.8887,37432.8203125,0.0394274927675724,0.014741561009676819
