,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|DeepMARL_MR Prioritized (S)_model_5,_1_10,3942.6226,61974.0625,0.40358635783195496,0.04800011060071819
1,|DeepMARL_MR Prioritized (S)_model_5,_1_9,3952.0962,44173.9765625,0.15858133137226105,0.3082667122259728
2,|DeepMARL_MR Prioritized (S)_model_5,_1_35,4006.2017,62832.44140625,0.32590943574905396,0.14352997085859143
3,|DeepMARL_MR Prioritized (S)_model_5,_1_61,4016.8027,30739.671875,0.08821151405572891,0.3247968963856934
4,|DeepMARL_MR Prioritized (S)_model_5,_1_89,4035.286,39617.0546875,0.30763566493988037,0.0
5,|DeepMARL_MR Prioritized (S)_model_5,_1_6,4039.113,33277.578125,0.2918276786804199,0.3153739852784164
6,|DeepMARL_MR Prioritized (S)_model_5,_1_40,4102.664,51318.83984375,0.13412955403327942,0.422631639550342
7,|DeepMARL_MR Prioritized (S)_model_5,_1_3,4103.471,26473.578125,0.21607892215251923,0.26656041754075416
8,|DeepMARL_MR Prioritized (S)_model_5,_1_77,4126.4707,32595.541015625,0.22623957693576813,0.2376512262848831
9,|DeepMARL_MR Prioritized (S)_model_5,_1_48,4131.249,47729.45703125,0.24869750440120697,0.4113107094707978
10,|DeepMARL_MR Prioritized (S)_model_5,_1_51,4152.37,46310.88671875,0.1965181976556778,0.3367937609888197
11,|DeepMARL_MR Prioritized (S)_model_5,_1_29,4171.166,44763.453125,0.20125067234039307,0.11573624571274013
12,|DeepMARL_MR Prioritized (S)_model_5,_1_12,4172.0996,36823.73046875,0.10594169795513153,0.20849031030525828
13,|DeepMARL_MR Prioritized (S)_model_5,_1_43,4196.135,45981.53515625,0.21337342262268066,0.24061825597341252
14,|DeepMARL_MR Prioritized (S)_model_5,_1_87,4210.3364,54220.27734375,0.24291136860847473,0.15984434278763954
15,|DeepMARL_MR Prioritized (S)_model_5,_1_31,4214.4424,31476.796875,0.16220179200172424,0.10813502139956543
16,|DeepMARL_MR Prioritized (S)_model_5,_1_19,4225.448,30483.04296875,0.2580074965953827,0.26256294815691683
17,|DeepMARL_MR Prioritized (S)_model_5,_1_57,4240.75,22476.453125,0.0,0.15634725464080307
18,|DeepMARL_MR Prioritized (S)_model_5,_1_56,4245.131,26372.388671875,0.33359310030937195,0.21495393334199595
19,|DeepMARL_MR Prioritized (S)_model_5,_1_13,4247.6357,37749.2109375,0.2941821217536926,0.11706179048625649
20,|DeepMARL_MR Prioritized (S)_model_5,_1_54,4250.5576,29083.59765625,0.1142331212759018,0.08379100649484962
21,|DeepMARL_MR Prioritized (S)_model_5,_1_52,4257.7324,28419.896484375,0.44442251324653625,0.35536542690630873
22,|DeepMARL_MR Prioritized (S)_model_5,_1_66,4263.575,41841.57421875,0.3243686258792877,0.23975914403780765
23,|DeepMARL_MR Prioritized (S)_model_5,_1_28,4270.6816,59711.7734375,0.18031573295593262,0.09534921165900322
24,|DeepMARL_MR Prioritized (S)_model_5,_1_14,4277.641,45988.5,0.17528590559959412,0.17668841175572214
25,|DeepMARL_MR Prioritized (S)_model_5,_1_95,4286.273,39586.37109375,0.1669660061597824,0.19368509169910134
26,|DeepMARL_MR Prioritized (S)_model_5,_1_15,4291.0327,54285.19921875,0.3069307506084442,0.0
27,|DeepMARL_MR Prioritized (S)_model_5,_1_68,4292.7656,33673.8359375,0.15647941827774048,0.2913397297225713
28,|DeepMARL_MR Prioritized (S)_model_5,_1_65,4299.792,26952.892578125,0.2952623963356018,0.2909276037003581
29,|DeepMARL_MR Prioritized (S)_model_5,_1_46,4304.961,23490.220703125,0.25975489616394043,0.10664214314878946
30,|DeepMARL_MR Prioritized (S)_model_5,_1_58,4319.3926,20925.34765625,0.2660268545150757,0.30782569712916497
31,|DeepMARL_MR Prioritized (S)_model_5,_1_45,4339.791,26701.470703125,0.0,0.36134991590416976
32,|DeepMARL_MR Prioritized (S)_model_5,_1_78,4343.95,43510.61328125,0.12722456455230713,0.3660129433125535
33,|DeepMARL_MR Prioritized (S)_model_5,_1_32,4348.445,58377.70703125,0.3134671747684479,0.16978352017314757
34,|DeepMARL_MR Prioritized (S)_model_5,_1_100,4349.419,21957.166015625,0.15753696858882904,0.2437970617992934
35,|DeepMARL_MR Prioritized (S)_model_5,_1_25,4349.661,22812.53515625,0.2171877920627594,0.27155139323008465
36,|DeepMARL_MR Prioritized (S)_model_5,_1_44,4356.199,44246.7578125,0.2770232856273651,0.3508090750368243
37,|DeepMARL_MR Prioritized (S)_model_5,_1_41,4357.934,46572.8359375,0.3218158185482025,0.2033878915090617
38,|DeepMARL_MR Prioritized (S)_model_5,_1_92,4392.198,38400.28125,0.0,0.37714895364734213
39,|DeepMARL_MR Prioritized (S)_model_5,_1_75,4394.62,29876.44140625,0.2484533190727234,0.06843670752766294
40,|DeepMARL_MR Prioritized (S)_model_5,_1_67,4396.1255,37322.03125,0.1168617308139801,0.33802934272442814
41,|DeepMARL_MR Prioritized (S)_model_5,_1_20,4408.1567,22203.333984375,0.03798713907599449,0.22987034717082835
42,|DeepMARL_MR Prioritized (S)_model_5,_1_84,4409.104,45623.54296875,0.22653234004974365,0.18775230445715502
43,|DeepMARL_MR Prioritized (S)_model_5,_1_2,4421.938,66823.21875,0.32445406913757324,0.0
44,|DeepMARL_MR Prioritized (S)_model_5,_1_93,4433.2627,33452.5703125,0.11650784313678741,0.20327569491856212
45,|DeepMARL_MR Prioritized (S)_model_5,_1_69,4447.443,33159.14453125,0.19837966561317444,0.3812222703273095
46,|DeepMARL_MR Prioritized (S)_model_5,_1_8,4448.3975,37080.578125,0.2669258117675781,0.28461361461726914
47,|DeepMARL_MR Prioritized (S)_model_5,_1_1,4461.5273,31258.673828125,0.15922226011753082,0.0016619224376419382
48,|DeepMARL_MR Prioritized (S)_model_5,_1_86,4479.474,24188.421875,0.3643414080142975,0.23669728790857852
49,|DeepMARL_MR Prioritized (S)_model_5,_1_97,4481.55,30427.294921875,0.11727172881364822,0.0164373974771952
50,|DeepMARL_MR Prioritized (S)_model_5,_1_11,4489.2646,27085.75,0.2810628414154053,0.24672586070439256
51,|DeepMARL_MR Prioritized (S)_model_5,_1_16,4494.8423,30610.099609375,0.29332655668258667,0.2847351393774364
52,|DeepMARL_MR Prioritized (S)_model_5,_1_18,4502.1807,31847.7890625,0.1175243929028511,0.39456836885189844
53,|DeepMARL_MR Prioritized (S)_model_5,_1_39,4503.4116,36481.8359375,0.29257941246032715,0.2656579180513579
54,|DeepMARL_MR Prioritized (S)_model_5,_1_23,4513.296,22910.0234375,0.0,0.2831457704573346
55,|DeepMARL_MR Prioritized (S)_model_5,_1_96,4536.2534,50863.18359375,0.1344231367111206,0.0
56,|DeepMARL_MR Prioritized (S)_model_5,_1_82,4537.341,37128.4765625,0.22073028981685638,0.2524991943790327
57,|DeepMARL_MR Prioritized (S)_model_5,_1_17,4573.133,47796.453125,0.16967737674713135,0.1715943591809464
58,|DeepMARL_MR Prioritized (S)_model_5,_1_83,4579.26,25881.609375,0.04634254053235054,0.19924925591667458
59,|DeepMARL_MR Prioritized (S)_model_5,_1_55,4580.7812,18538.82421875,0.19541184604167938,0.2651709525929545
60,|DeepMARL_MR Prioritized (S)_model_5,_1_34,4587.117,15789.376953125,0.2284548133611679,0.2665753870871525
61,|DeepMARL_MR Prioritized (S)_model_5,_1_42,4595.267,40568.30859375,0.23141486942768097,0.2230251187554188
62,|DeepMARL_MR Prioritized (S)_model_5,_1_5,4604.1665,49083.28125,0.5192567706108093,0.24306619313209665
63,|DeepMARL_MR Prioritized (S)_model_5,_1_80,4615.073,29125.828125,0.2145456224679947,0.30335199244771244
64,|DeepMARL_MR Prioritized (S)_model_5,_1_94,4618.179,42815.0546875,,0.013336122171010531
65,|DeepMARL_MR Prioritized (S)_model_5,_1_50,4631.969,49002.00390625,0.2183535397052765,0.16747698611845022
66,|DeepMARL_MR Prioritized (S)_model_5,_1_38,4634.488,45086.26171875,0.0,0.0
67,|DeepMARL_MR Prioritized (S)_model_5,_1_88,4642.7812,31046.453125,0.2209024578332901,0.2094687609646259
68,|DeepMARL_MR Prioritized (S)_model_5,_1_63,4645.749,31325.646484375,0.3354601562023163,0.2007699506190052
69,|DeepMARL_MR Prioritized (S)_model_5,_1_7,4647.2417,23751.15234375,0.14410220086574554,0.43403594323749894
70,|DeepMARL_MR Prioritized (S)_model_5,_1_74,4662.2363,34945.81640625,0.2760794162750244,0.23484340145988342
71,|DeepMARL_MR Prioritized (S)_model_5,_1_72,4677.0293,41476.2109375,0.17107439041137695,0.4177046283277279
72,|DeepMARL_MR Prioritized (S)_model_5,_1_53,4679.318,23954.298828125,0.0,0.261005842896316
73,|DeepMARL_MR Prioritized (S)_model_5,_1_47,4680.872,30251.431640625,0.2881777584552765,0.13556817464027188
74,|DeepMARL_MR Prioritized (S)_model_5,_1_70,4685.853,14066.044921875,0.21731215715408325,0.5226664767081536
75,|DeepMARL_MR Prioritized (S)_model_5,_1_79,4686.0635,25184.49609375,0.24305680394172668,0.4808043144283703
76,|DeepMARL_MR Prioritized (S)_model_5,_1_91,4706.165,25003.734375,0.321828693151474,0.1784334711323417
77,|DeepMARL_MR Prioritized (S)_model_5,_1_27,4727.524,31621.583984375,0.0053572263568639755,0.15896836998330316
78,|DeepMARL_MR Prioritized (S)_model_5,_1_81,4765.998,32952.9921875,0.28792494535446167,0.14394276948176904
79,|DeepMARL_MR Prioritized (S)_model_5,_1_24,4795.692,31001.841796875,0.13119295239448547,0.0
80,|DeepMARL_MR Prioritized (S)_model_5,_1_71,4799.5693,45955.2421875,0.09539171308279037,0.42230516570170124
81,|DeepMARL_MR Prioritized (S)_model_5,_1_98,4824.746,31870.830078125,0.11183958500623703,0.12801168425229223
82,|DeepMARL_MR Prioritized (S)_model_5,_1_90,4831.973,36515.453125,0.0,0.18273231500747278
83,|DeepMARL_MR Prioritized (S)_model_5,_1_22,4839.6855,47671.46484375,0.03182973340153694,0.32654712939913194
84,|DeepMARL_MR Prioritized (S)_model_5,_1_85,4849.585,42277.37109375,0.0,0.266917247308603
85,|DeepMARL_MR Prioritized (S)_model_5,_1_37,4889.791,57289.30859375,0.0,0.0764383094350276
86,|DeepMARL_MR Prioritized (S)_model_5,_1_36,4901.985,34037.1953125,0.1338510364294052,0.29643931822465247
87,|DeepMARL_MR Prioritized (S)_model_5,_1_59,4925.7915,19281.068359375,0.004633975215256214,0.22750507724365152
88,|DeepMARL_MR Prioritized (S)_model_5,_1_26,4957.285,33433.7109375,0.24333013594150543,0.36164582806411766
89,|DeepMARL_MR Prioritized (S)_model_5,_1_60,4972.1714,22467.701171875,0.30901435017585754,0.27457892353651586
90,|DeepMARL_MR Prioritized (S)_model_5,_1_73,4981.8804,28523.23828125,0.14525453746318817,0.3433846642585572
91,|DeepMARL_MR Prioritized (S)_model_5,_1_30,4992.6533,30196.38671875,0.0,0.2171561572673601
92,|DeepMARL_MR Prioritized (S)_model_5,_1_62,5028.503,34680.921875,0.26871001720428467,0.2206175288758055
93,|DeepMARL_MR Prioritized (S)_model_5,_1_99,5035.327,24668.37890625,0.0,0.3412762787804814
94,|DeepMARL_MR Prioritized (S)_model_5,_1_4,5036.723,33167.69921875,0.3360777497291565,0.31223540881564393
95,|DeepMARL_MR Prioritized (S)_model_5,_1_33,5119.368,55282.21484375,0.07111305743455887,0.0
96,|DeepMARL_MR Prioritized (S)_model_5,_1_76,5120.392,25686.5625,0.2749561369419098,0.287381902101335
97,|DeepMARL_MR Prioritized (S)_model_5,_1_21,5167.601,30275.65625,0.0,0.20969621707102667
98,|DeepMARL_MR Prioritized (S)_model_5,_1_64,5224.644,17773.91796875,0.2805805206298828,0.32215860093205545
99,|DeepMARL_MR Prioritized (S)_model_5,_1_49,5241.1772,23301.37109375,0.0,0.24976630604126057
100,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_9,3994.7766,54248.12109375,0.09251749515533447,0.044427075527337885
101,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_61,4011.6948,32600.78125,0.10214227437973022,0.19584663697981128
102,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_12,4083.0627,39332.7890625,0.31771302223205566,0.05812974120394451
103,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_89,4114.31,32149.171875,0.10258428752422333,0.3180967485805447
104,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_95,4172.1035,42154.26953125,0.20821812748908997,0.0
105,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_10,4208.132,58895.35546875,0.0,0.28487469058848003
106,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_57,4252.796,25907.1015625,0.0,0.0
107,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_3,4259.471,29708.244140625,0.0,0.0
108,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_45,4269.041,28717.15234375,0.15436653792858124,0.1640117267600657
109,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_87,4279.328,56123.37109375,0.0,0.057816912203870564
110,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_14,4282.6167,41254.9140625,0.16637833416461945,0.30738738385050723
111,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_51,4286.926,54737.80078125,0.0,0.0
112,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_54,4290.853,29791.208984375,0.04264875501394272,0.02384031770984156
113,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_78,4294.0757,48529.51171875,0.3095325827598572,0.10271243959719166
114,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_6,4343.67,41398.14453125,0.0,0.0
115,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_92,4349.602,47124.73828125,0.09926708042621613,0.0
116,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_100,4350.6914,22561.45703125,0.15338429808616638,0.0
117,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_29,4368.127,46925.578125,0.0,0.0
118,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_43,4386.7607,46501.02734375,0.0010420717298984528,0.21724277212603182
119,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_25,4390.218,25520.6875,0.0,0.0
120,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_93,4395.792,40774.859375,0.4283386170864105,0.0
121,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_65,4400.3135,30907.865234375,0.1082555502653122,0.03726038613314039
122,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_56,4401.497,27019.40625,0.0,0.18489436826757863
123,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_40,4408.126,59755.3203125,0.0,0.0
124,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_31,4412.8867,32790.80078125,0.0,0.012429473046903785
125,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_20,4429.798,22697.375,0.0,0.2006613646485965
126,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_46,4429.9883,22519.21484375,0.0,0.294596760778502
127,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_44,4462.0347,45901.36328125,0.05929511785507202,0.22935276577698469
128,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_69,4469.1553,36585.984375,0.17577607929706573,0.15975825721018824
129,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_68,4469.4653,40290.80078125,0.0,0.0
130,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_18,4470.039,36299.0078125,0.15930308401584625,0.16121358771979044
131,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_28,4472.2275,47303.21484375,0.0,0.45604993549245676
132,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_97,4476.55,31798.171875,0.20103725790977478,0.0
133,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_48,4489.356,50504.27734375,0.0,0.2757000228705129
134,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_27,4491.0327,33234.5546875,0.25327301025390625,0.0
135,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_58,4494.6973,20269.974609375,0.0,0.3700374437398354
136,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_23,4499.713,30250.328125,0.04591641202569008,0.0
137,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_13,4518.0728,42053.10546875,0.0971255674958229,0.0
138,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_80,4525.132,33948.5625,0.28433626890182495,0.0
139,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_99,4542.637,32098.40625,0.20187008380889893,0.0
140,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_35,4550.0693,62029.125,0.0,0.18881752122513276
141,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_82,4556.4043,38272.27734375,0.14431145787239075,0.18773700019706477
142,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_34,4561.452,19192.359375,0.24640077352523804,0.0
143,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_53,4567.318,27882.87109375,0.36759093403816223,0.0
144,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_17,4571.715,48887.96484375,0.18355903029441833,0.0
145,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_15,4573.3066,55772.76171875,0.0,0.0
146,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_52,4576.0356,36271.08203125,0.0,0.0
147,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_11,4584.9634,29608.125,0.0,0.03378297717979159
148,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_75,4586.5845,30867.6875,0.0,0.0
149,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_83,4595.0044,26906.947265625,0.0,0.09471358840418793
150,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_88,4612.0166,35526.296875,0.32356056571006775,0.0
151,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_22,4612.1855,64677.1015625,0.27346479892730713,0.0
152,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_94,4618.179,40235.29296875,,0.3422292275168638
153,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_19,4624.1006,34301.5,0.0,0.06288049131863144
154,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_39,4644.3267,39681.046875,0.0,0.11892534160197604
155,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_8,4661.3975,41034.04296875,0.0,0.021173602456340913
156,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_63,4676.749,32276.6796875,0.2339865118265152,0.15817994687456186
157,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_67,4684.5093,47874.68359375,0.0,0.0
158,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_77,4688.0728,32174.873046875,0.0,0.2539279839135316
159,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_32,4692.095,57613.078125,0.0,0.2120733612997129
160,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_1,4696.3633,34774.8203125,0.0,0.0
161,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_5,4706.7905,47885.7265625,0.04861510545015335,0.3617753519370672
162,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_7,4707.1562,27793.091796875,0.036351773887872696,0.07713647517037235
163,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_37,4716.585,50453.10546875,0.09373963624238968,0.34730524186084233
164,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_84,4721.324,51907.19921875,0.0,0.0
165,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_72,4722.339,48115.34765625,0.0,0.0369277320593715
166,|DeepMARL_AS (8 rules) Prioritized (GDT)_model_2,_1_47,4731.0234,30552.5078125,0.07819955050945282,0.11609409148906605
