,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|(2) Initialization|model|Xavier_model_0,_1_35,4464.0693,61282.7734375,0.019748464226722717,0.04194655001596072
1,|(2) Initialization|model|Xavier_model_0,_1_32,4987.627,68844.609375,0.017367912456393242,0.0
2,|(2) Initialization|model|Xavier_model_0,_1_92,4698.8887,57601.00390625,0.0,0.004736244933208718
3,|(2) Initialization|model|Xavier_model_0,_1_66,4850.424,60579.91796875,0.020999973639845848,0.00581272142290268
4,|(2) Initialization|model|Xavier_model_0,_1_59,5143.0845,33785.1015625,0.0,0.006133903705325273
5,|(2) Initialization|model|Xavier_model_0,_1_61,3953.4873,54035.5078125,0.041498031467199326,0.021909491945426886
6,|(2) Initialization|model|Xavier_model_0,_1_95,4730.368,55735.2734375,0.0032862394582480192,0.005729793623000719
7,|(2) Initialization|model|Xavier_model_0,_1_57,4252.4507,34167.00390625,0.03627078980207443,0.02627174491647633
8,|(2) Initialization|model|Xavier_model_0,_1_68,4748.1274,44503.2890625,0.0,0.02650983561140481
9,|(2) Initialization|model|Xavier_model_0,_1_50,5029.913,57873.9765625,0.0062434496358036995,0.01601697538638414
10,|(2) Initialization|model|Xavier_model_0,_1_33,5041.019,53203.5625,0.027443623170256615,0.03838994790409677
11,|(2) Initialization|model|Xavier_model_0,_1_34,4805.142,24770.2109375,0.01967468671500683,0.024956698685016123
12,|(2) Initialization|model|Xavier_model_0,_1_51,4206.37,60407.9296875,0.033484820276498795,0.027644186164310455
13,|(2) Initialization|model|Xavier_model_0,_1_56,4281.4424,42669.87109375,0.03833996504545212,0.007732031822280808
14,|(2) Initialization|model|Xavier_model_0,_1_69,5122.4067,52941.9140625,0.0042624021880328655,0.008144445071936764
15,|(2) Initialization|model|Xavier_model_0,_1_94,4618.179,54468.11328125,0.03526834398508072,0.02105172459276513
16,|(2) Initialization|model|Xavier_model_0,_1_60,5137.938,31059.328125,0.02865622378885746,0.029104409893368717
17,|(2) Initialization|model|Xavier_model_0,_1_67,4512.36,54621.44140625,0.019477970898151398,0.014881455873936859
18,|(2) Initialization|model|Xavier_model_0,_1_93,4458.2627,44253.32421875,0.03189172223210335,0.022248749986868602
19,|(2) Initialization|model|Xavier_model_0,_1_58,4481.658,28460.6796875,0.028309937566518784,0.026445788544300766
20,|(2) Initialization|model|Xavier_model_0,_1_5,4706.7905,57312.46484375,0.03315114974975586,0.019872101208950454
21,|(2) Initialization|model|Xavier_model_0,_1_2,4769.9873,73723.5859375,0.0290170069783926,0.016388008630790516
22,|(2) Initialization|model|Xavier_model_0,_1_3,4335.568,47003.85546875,0.007747537922114134,0.0
23,|(2) Initialization|model|Xavier_model_0,_1_4,5175.197,43382.7734375,0.033572006970644,0.025913212352266575
24,|(2) Initialization|model|Xavier_model_0,_1_45,4288.8467,38615.03515625,0.03379186615347862,0.025450391398689924
25,|(2) Initialization|model|Xavier_model_0,_1_89,4687.005,42407.671875,0.0,0.03356937610136873
26,|(2) Initialization|model|Xavier_model_0,_1_42,4917.9937,56103.5,0.0,0.01303120189695696
27,|(2) Initialization|model|Xavier_model_0,_1_80,4970.4614,50899.0625,0.02059357240796089,0.010274749796984122
28,|(2) Initialization|model|Xavier_model_0,_1_74,5274.282,55593.78515625,0.0023920321837067604,0.0025932892955964197
29,|(2) Initialization|model|Xavier_model_0,_1_73,5072.7505,43325.609375,0.025199348106980324,0.01712585874003076
30,|(2) Initialization|model|Xavier_model_0,_1_87,4344.4478,66043.6953125,0.027128342539072037,0.014983055332404044
31,|(2) Initialization|model|Xavier_model_0,_1_27,4752.0635,44993.3984375,0.01795051433146,0.0
32,|(2) Initialization|model|Xavier_model_0,_1_18,4583.8887,48196.921875,0.023098109290003777,0.005809179905588087
33,|(2) Initialization|model|Xavier_model_0,_1_20,4463.5596,36225.9296875,0.013976187445223331,0.0
34,|(2) Initialization|model|Xavier_model_0,_1_16,4761.5503,42695.8671875,0.023662758991122246,0.008696418024683385
35,|(2) Initialization|model|Xavier_model_0,_1_29,4333.127,63113.72265625,0.012499779462814331,0.0
36,|(2) Initialization|model|Xavier_model_0,_1_11,4655.8545,37263.203125,0.017820358276367188,0.02344237113395461
37,|(2) Initialization|model|Xavier_model_0,_1_86,4642.86,32624.755859375,0.023637736216187477,0.03090290375510992
38,|(2) Initialization|model|Xavier_model_0,_1_72,4707.128,55463.484375,0.03615952655673027,0.0018258383544447288
39,|(2) Initialization|model|Xavier_model_0,_1_75,4632.7373,46891.05859375,0.0,0.0
40,|(2) Initialization|model|Xavier_model_0,_1_81,5112.46,42970.80859375,0.005934797693043947,0.01609297600917228
41,|(2) Initialization|model|Xavier_model_0,_1_88,4651.213,48998.6484375,0.026813257485628128,0.010440911925245495
42,|(2) Initialization|model|Xavier_model_0,_1_43,4228.994,64125.64453125,0.039386700838804245,0.0009821071466193793
43,|(2) Initialization|model|Xavier_model_0,_1_44,4708.1055,54713.61328125,0.0,0.031517576321293476
44,|(2) Initialization|model|Xavier_model_0,_1_10,4338.2207,65728.703125,0.023777205497026443,0.03328934722488026
45,|(2) Initialization|model|Xavier_model_0,_1_17,4808.954,57794.3984375,0.018556438386440277,0.027099724707433964
46,|(2) Initialization|model|Xavier_model_0,_1_28,4532.7163,64313.9375,0.013476950116455555,0.03368104212909817
47,|(2) Initialization|model|Xavier_model_0,_1_21,4950.1304,43532.26953125,0.0022102671209722757,0.019584101079981917
48,|(2) Initialization|model|Xavier_model_0,_1_26,5274.976,52719.5859375,0.020632687956094742,0.011465349408776903
49,|(2) Initialization|model|Xavier_model_0,_1_19,4641.0117,38814.5390625,0.008495872840285301,0.027375330106532404
50,|(2) Initialization|model|Xavier_model_0,_1_62,4986.6714,48992.51171875,0.03973635286092758,0.016967943796697842
51,|(2) Initialization|model|Xavier_model_0,_1_96,4438.2534,51709.6171875,0.04132615402340889,0.02727981477801203
52,|(2) Initialization|model|Xavier_model_0,_1_91,4951.7373,36098.875,0.007934815250337124,0.0
53,|(2) Initialization|model|Xavier_model_0,_1_65,4404.5044,33430.9140625,0.035143546760082245,0.04055450432961119
54,|(2) Initialization|model|Xavier_model_0,_1_53,4669.33,39187.484375,0.027425380423665047,0.018411701011230866
55,|(2) Initialization|model|Xavier_model_0,_1_98,4966.2305,41812.3515625,0.007846899330615997,0.01581145951075137
56,|(2) Initialization|model|Xavier_model_0,_1_54,4589.863,41439.52734375,0.0,0.009079520276455512
57,|(2) Initialization|model|Xavier_model_0,_1_38,4841.5527,40403.6875,0.015766791999340057,0.04364764287415962
58,|(2) Initialization|model|Xavier_model_0,_1_31,4389.0728,45530.484375,0.01173350028693676,0.016586348984367602
59,|(2) Initialization|model|Xavier_model_0,_1_36,5212.6123,37993.83203125,0.008548729121685028,0.046973108108987846
60,|(2) Initialization|model|Xavier_model_0,_1_55,5288.238,34814.79296875,0.0,0.015652192304958006
61,|(2) Initialization|model|Xavier_model_0,_1_52,4530.372,50386.01953125,0.02442842349410057,0.01164636122349424
62,|(2) Initialization|model|Xavier_model_0,_1_99,4637.592,41820.05859375,0.029380440711975098,0.02498980677431228
63,|(2) Initialization|model|Xavier_model_0,_1_64,5779.272,28002.263671875,0.009474778547883034,0.00940513005049612
64,|(2) Initialization|model|Xavier_model_0,_1_90,4800.537,49062.8359375,0.020025357604026794,0.023630643426259357
65,|(2) Initialization|model|Xavier_model_0,_1_97,4504.9795,35820.6328125,0.03425852581858635,0.025649899548796116
66,|(2) Initialization|model|Xavier_model_0,_1_63,4761.749,43258.83984375,0.011515654623508453,0.02464715237078657
67,|(2) Initialization|model|Xavier_model_0,_1_37,5049.832,61413.80078125,0.02247844636440277,0.03200320134237589
68,|(2) Initialization|model|Xavier_model_0,_1_30,5016.3438,46679.453125,0.03269987180829048,0.0048092164721235476
69,|(2) Initialization|model|Xavier_model_0,_1_39,4691.0186,47880.91015625,0.012145794928073883,0.026973681716108595
70,|(2) Initialization|model|Xavier_model_0,_1_100,4274.6826,33434.96875,0.05266715586185455,0.01626625516037969
71,|(2) Initialization|model|Xavier_model_0,_1_8,4462.3975,51104.46875,0.034650493413209915,0.018022560742929662
72,|(2) Initialization|model|Xavier_model_0,_1_1,4584.3633,42980.7890625,0.02492787502706051,0.015218419691189965
73,|(2) Initialization|model|Xavier_model_0,_1_6,4452.3525,54788.02734375,0.022333446890115738,0.0027940092079412012
74,|(2) Initialization|model|Xavier_model_0,_1_7,4739.335,35876.39453125,0.01958744414150715,0.023580042601333336
75,|(2) Initialization|model|Xavier_model_0,_1_9,4097.383,58217.65234375,0.018566511571407318,0.021598744182750877
76,|(2) Initialization|model|Xavier_model_0,_1_23,4487.259,32575.2890625,0.02800643816590309,0.032269749611022594
77,|(2) Initialization|model|Xavier_model_0,_1_24,4815.692,36376.19921875,0.03279915452003479,0.02731987401640044
78,|(2) Initialization|model|Xavier_model_0,_1_12,4210.4194,49481.64453125,0.027711765840649605,0.021933483157825923
79,|(2) Initialization|model|Xavier_model_0,_1_15,4492.6562,52105.30859375,0.03051370196044445,0.050888922777310254
80,|(2) Initialization|model|Xavier_model_0,_1_41,4839.717,55435.5625,0.02556837536394596,0.018360021568343526
81,|(2) Initialization|model|Xavier_model_0,_1_79,4830.779,40101.21875,0.028280865401029587,0.023348809658638666
82,|(2) Initialization|model|Xavier_model_0,_1_46,4461.707,35486.671875,0.02266373485326767,0.01159124271036047
83,|(2) Initialization|model|Xavier_model_0,_1_70,4702.2744,26025.130859375,0.038883522152900696,0.031101715044962223
84,|(2) Initialization|model|Xavier_model_0,_1_84,4849.346,59979.94921875,0.005823699291795492,0.0011582482255501434
