,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
46,CRSPTSchedulingRule_CTRoutingRule,_1_3,4825.771,27761.0703125,0.08129627257585526,0.09947888023141954
47,CRSPTSchedulingRule_CTRoutingRule,_1_4,4637.5747,48467.26171875,0.12061897665262222,0.10767517111903396
48,CRSPTSchedulingRule_CTRoutingRule,_1_188,4212.859,28285.6875,0.12708239257335663,0.08651980318985751
49,CRSPTSchedulingRule_CTRoutingRule,_1_143,4503.072,24824.51953125,0.1013346016407013,0.11830588030195324
50,CRSPTSchedulingRule_CTRoutingRule,_1_45,4979.328,40001.68359375,0.08110645413398743,0.07766390312765811
51,CRSPTSchedulingRule_CTRoutingRule,_1_89,4110.6523,48337.640625,0.0914744883775711,0.09188809477716846
52,CRSPTSchedulingRule_CTRoutingRule,_1_42,4778.542,23890.70703125,0.07743128389120102,0.12346083347704352
53,CRSPTSchedulingRule_CTRoutingRule,_1_144,4605.281,34678.60546875,0.07505074143409729,0.09353374669497794
54,CRSPTSchedulingRule_CTRoutingRule,_1_80,5016.3115,13938.0771484375,0.1201990395784378,0.08460707227241922
55,CRSPTSchedulingRule_CTRoutingRule,_1_186,4969.7446,24124.638671875,0.06864958256483078,0.14043396445994016
56,CRSPTSchedulingRule_CTRoutingRule,_1_172,4452.658,21566.63671875,0.12711213529109955,0.09400052676128148
57,CRSPTSchedulingRule_CTRoutingRule,_1_74,4211.8887,39901.02734375,0.12790922820568085,0.13221345878010732
58,CRSPTSchedulingRule_CTRoutingRule,_1_73,4492.62,28420.720703125,0.07186970114707947,0.10300114251025538
59,CRSPTSchedulingRule_CTRoutingRule,_1_175,4899.697,22207.564453125,0.047852057963609695,0.131662764386814
60,CRSPTSchedulingRule_CTRoutingRule,_1_181,4560.263,27959.197265625,0.09582530707120895,0.06949167184119093
61,CRSPTSchedulingRule_CTRoutingRule,_1_87,4076.1775,34682.8828125,0.10017916560173035,0.09121590163696976
62,CRSPTSchedulingRule_CTRoutingRule,_1_27,4944.0303,35006.125,0.02544868364930153,0.0931201172019782
63,CRSPTSchedulingRule_CTRoutingRule,_1_121,5228.427,43115.21875,0.08782172203063965,0.10004617624767746
64,CRSPTSchedulingRule_CTRoutingRule,_1_18,4317.8867,44419.7734375,0.11182631552219391,0.09956979657295643
65,CRSPTSchedulingRule_CTRoutingRule,_1_126,4456.3643,35271.109375,0.08569527417421341,0.12272753065216407
66,CRSPTSchedulingRule_CTRoutingRule,_1_20,4278.1216,33194.625,0.0960216224193573,0.04858753714114943
67,CRSPTSchedulingRule_CTRoutingRule,_1_119,4346.7656,33159.3515625,0.07144071906805038,0.08986025435757579
68,CRSPTSchedulingRule_CTRoutingRule,_1_16,4646.5146,70816.84375,0.09668339043855667,0.1516269736657223
69,CRSPTSchedulingRule_CTRoutingRule,_1_110,4463.462,46309.7109375,0.08786869794130325,0.08415338543367362
70,CRSPTSchedulingRule_CTRoutingRule,_1_29,5213.558,62195.01171875,0.07018594443798065,0.11394267688619884
