,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Flexible_DDQN|Local_model_4,_1_35,4144.351,81710.1796875,0.06186702102422714,0.016267427873966414
1,|Flexible_DDQN|Local_model_4,_1_32,4464.186,71539.46875,0.0350278802216053,0.01541904911901174
2,|Flexible_DDQN|Local_model_4,_1_92,4215.1343,68976.890625,0.05041995644569397,0.007720405788067375
3,|Flexible_DDQN|Local_model_4,_1_66,4263.625,65732.2578125,0.05585143342614174,0.01928344397538737
4,|Flexible_DDQN|Local_model_4,_1_59,4899.566,37779.8125,0.02261054329574108,0.0
5,|Flexible_DDQN|Local_model_4,_1_61,3883.504,68138.40625,0.05384666472673416,0.009479216752852425
6,|Flexible_DDQN|Local_model_4,_1_95,4730.368,58614.765625,0.005535352509468794,0.014280870699625598
7,|Flexible_DDQN|Local_model_4,_1_57,4335.8184,43952.2265625,0.019836924970149994,0.0
8,|Flexible_DDQN|Local_model_4,_1_68,4444.709,59227.60546875,0.024577181786298752,0.006906026527806083
9,|Flexible_DDQN|Local_model_4,_1_50,4653.4556,69367.4765625,0.03560022637248039,0.0
10,|Flexible_DDQN|Local_model_4,_1_33,4994.918,71576.734375,0.032643143087625504,0.019790749793156488
11,|Flexible_DDQN|Local_model_4,_1_34,4582.9194,30002.021484375,0.05239821597933769,0.0
12,|Flexible_DDQN|Local_model_4,_1_51,4161.926,69129.171875,0.03961198404431343,0.018986074888818035
13,|Flexible_DDQN|Local_model_4,_1_56,4297.708,46576.1796875,0.043420322239398956,0.0014493714117791196
14,|Flexible_DDQN|Local_model_4,_1_69,4531.6406,55781.0234375,0.04164944961667061,0.008231400214566496
15,|Flexible_DDQN|Local_model_4,_1_94,4618.179,68851.9921875,0.03448275849223137,0.0025856226587537084
16,|Flexible_DDQN|Local_model_4,_1_60,5033.032,37775.07421875,0.03372764214873314,0.007818718031412276
17,|Flexible_DDQN|Local_model_4,_1_67,4410.943,77850.5625,0.0269575547426939,0.0
18,|Flexible_DDQN|Local_model_4,_1_93,4444.67,51568.6171875,0.032350994646549225,0.007765943432226597
19,|Flexible_DDQN|Local_model_4,_1_58,4382.331,32185.794921875,0.04381928592920303,0.021247059813586204
20,|Flexible_DDQN|Local_model_4,_1_5,4347.2896,65447.8515625,0.1329292505979538,0.023300404754002694
21,|Flexible_DDQN|Local_model_4,_1_2,4724.195,80456.46875,0.028330378234386444,0.02470882652603598
22,|Flexible_DDQN|Local_model_4,_1_3,4117.7573,57367.2578125,0.04047417268157005,0.0019526961793434982
23,|Flexible_DDQN|Local_model_4,_1_4,5171.826,50592.6796875,0.03810279816389084,0.01580935292723678
24,|Flexible_DDQN|Local_model_4,_1_45,4258.4844,50333.95703125,0.03737054392695427,0.007172079012191349
25,|Flexible_DDQN|Local_model_4,_1_89,4116.2227,60887.984375,0.03354112058877945,0.007203635639951946
26,|Flexible_DDQN|Local_model_4,_1_42,4639.65,55859.91796875,0.03527408465743065,0.024610173063298373
27,|Flexible_DDQN|Local_model_4,_1_80,4513.8135,54296.52734375,0.059593282639980316,0.01219126874267395
28,|Flexible_DDQN|Local_model_4,_1_74,4717.313,50950.05859375,0.037163298577070236,0.013772732653060678
29,|Flexible_DDQN|Local_model_4,_1_73,4981.8804,45646.9609375,0.037551771849393845,0.010280022043241226
30,|Flexible_DDQN|Local_model_4,_1_87,4230.338,79620.3203125,0.041716285049915314,0.011090162718235323
31,|Flexible_DDQN|Local_model_4,_1_27,4414.5947,60882.94921875,0.08991306275129318,0.003268901347190264
32,|Flexible_DDQN|Local_model_4,_1_18,4307.665,55321.96484375,0.04627839848399162,0.012854414079225973
33,|Flexible_DDQN|Local_model_4,_1_20,4236.5063,40777.546875,0.061113033443689346,0.006683564306500497
34,|Flexible_DDQN|Local_model_4,_1_16,4634.894,47345.125,0.03683994337916374,0.01344679920689038
35,|Flexible_DDQN|Local_model_4,_1_29,4079.4639,68790.2421875,0.0507008396089077,0.012164464157753097
36,|Flexible_DDQN|Local_model_4,_1_11,4650.459,44522.015625,0.018937071785330772,0.017990062542798658
37,|Flexible_DDQN|Local_model_4,_1_86,4454.19,43451.375,0.05932202190160751,0.008498685078933501
38,|Flexible_DDQN|Local_model_4,_1_72,4679.0527,64127.3125,0.03714827820658684,0.011939347021849234
39,|Flexible_DDQN|Local_model_4,_1_75,4403.828,49972.05859375,0.043211497366428375,0.0008391134132432188
40,|Flexible_DDQN|Local_model_4,_1_81,4761.998,43972.24609375,0.05181391164660454,0.022677479556200975
41,|Flexible_DDQN|Local_model_4,_1_88,4574.625,52149.5390625,0.04585222899913788,0.014707983699774257
42,|Flexible_DDQN|Local_model_4,_1_43,4633.3086,71570.4609375,0.007655276916921139,0.012369196255199595
43,|Flexible_DDQN|Local_model_4,_1_44,4261.066,72041.8125,0.05943514406681061,0.009533644278621587
44,|Flexible_DDQN|Local_model_4,_1_10,4103.586,91281.7421875,0.03326023742556572,0.011423452640271805
45,|Flexible_DDQN|Local_model_4,_1_17,4644.59,67351.359375,0.0270165354013443,0.010472147729014857
46,|Flexible_DDQN|Local_model_4,_1_28,4502.463,74531.34375,0.0,0.02688785764713857
47,|Flexible_DDQN|Local_model_4,_1_21,4861.826,44838.80859375,0.03889878839254379,0.018430221586177232
48,|Flexible_DDQN|Local_model_4,_1_26,5061.8623,57322.66796875,0.040409933775663376,0.010278190666407387
49,|Flexible_DDQN|Local_model_4,_1_19,4213.956,47851.9609375,0.04623487591743469,0.017887075044624223
50,|Flexible_DDQN|Local_model_4,_1_62,4974.9937,59995.65625,0.04935246333479881,0.0
51,|Flexible_DDQN|Local_model_4,_1_96,4316.2534,77552.8515625,0.04463420435786247,0.00615437864106816
52,|Flexible_DDQN|Local_model_4,_1_91,4863.4297,36530.13671875,0.02746979147195816,0.0
53,|Flexible_DDQN|Local_model_4,_1_65,4253.4775,49919.375,0.06180492043495178,0.0
54,|Flexible_DDQN|Local_model_4,_1_53,4607.39,43605.5859375,0.038777291774749756,0.0017676512959311401
55,|Flexible_DDQN|Local_model_4,_1_98,4885.0527,43066.3515625,0.006746180355548859,0.014004661533726103
56,|Flexible_DDQN|Local_model_4,_1_54,4204.234,41912.23046875,0.03246444836258888,0.016108172753323668
57,|Flexible_DDQN|Local_model_4,_1_38,4825.6816,58799.1875,0.0037161142099648714,0.013627695187962828
58,|Flexible_DDQN|Local_model_4,_1_31,4166.837,57034.5078125,0.043434493243694305,0.00973556825085541
59,|Flexible_DDQN|Local_model_4,_1_36,4927.1113,49179.23828125,0.035337090492248535,0.019752761432848143
60,|Flexible_DDQN|Local_model_4,_1_55,4577.9043,40026.15625,0.041925832629203796,0.0024567334771575153
61,|Flexible_DDQN|Local_model_4,_1_52,4482.241,68804.5546875,0.019612714648246765,0.0
62,|Flexible_DDQN|Local_model_4,_1_99,4569.123,51037.765625,0.03507352992892265,0.0
63,|Flexible_DDQN|Local_model_4,_1_64,5155.027,24366.974609375,0.05959999933838844,0.028790496821007715
64,|Flexible_DDQN|Local_model_4,_1_90,4780.973,60447.5859375,0.014849775470793247,0.01115739352768498
65,|Flexible_DDQN|Local_model_4,_1_97,4533.55,42880.44140625,0.01975242979824543,0.012013126790095285
66,|Flexible_DDQN|Local_model_4,_1_63,4639.749,49110.25390625,0.06093233451247215,0.013229856228108544
67,|Flexible_DDQN|Local_model_4,_1_37,4702.931,67428.0859375,0.033973973244428635,0.034143312513886526
68,|Flexible_DDQN|Local_model_4,_1_30,4862.5337,60121.2421875,0.037588927894830704,0.0
69,|Flexible_DDQN|Local_model_4,_1_39,4583.4116,50735.6953125,0.025870727375149727,0.023939436835412397
70,|Flexible_DDQN|Local_model_4,_1_100,4445.6914,37552.79296875,0.004077128600329161,0.012418165174742672
71,|Flexible_DDQN|Local_model_4,_1_8,4441.2266,59086.81640625,0.03970128670334816,0.014634309672275796
72,|Flexible_DDQN|Local_model_4,_1_1,4352.873,50483.0703125,0.06461003422737122,0.006647665287893236
73,|Flexible_DDQN|Local_model_4,_1_6,4457.3564,62274.703125,0.01818077079951763,0.005002322462891277
74,|Flexible_DDQN|Local_model_4,_1_7,4687.1562,42852.58984375,0.020673219114542007,0.009067833956739888
75,|Flexible_DDQN|Local_model_4,_1_9,3859.3071,67377.8125,0.04754786193370819,0.0234944881844548
76,|Flexible_DDQN|Local_model_4,_1_23,4478.9297,42556.59765625,0.03408239781856537,0.0065952249823001
77,|Flexible_DDQN|Local_model_4,_1_24,4767.246,49669.69140625,0.037300024181604385,0.004278092306361529
78,|Flexible_DDQN|Local_model_4,_1_12,4098.774,58755.61328125,0.05013663321733475,0.01229278173204628
79,|Flexible_DDQN|Local_model_4,_1_15,4172.206,85501.6015625,0.05285285785794258,0.0
80,|Flexible_DDQN|Local_model_4,_1_41,4835.839,71742.0234375,0.005498737562447786,0.0
81,|Flexible_DDQN|Local_model_4,_1_79,4647.0635,50852.6875,0.04355207830667496,0.011056243386273984
82,|Flexible_DDQN|Local_model_4,_1_46,4314.7764,40793.765625,0.04154784604907036,0.008529513189756643
83,|Flexible_DDQN|Local_model_4,_1_70,4650.295,31496.263671875,0.05090390890836716,0.01107835326891699
84,|Flexible_DDQN|Local_model_4,_1_84,4609.346,71389.9765625,0.02174413576722145,0.007963162071820459
85,|Flexible_DDQN|Local_model_4,_1_48,4105.2134,85183.625,0.04022075980901718,0.014875145715958946
