,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
0,|Deep MARL-MR Beefy (S)_model_3,_1_9,4102.096,60850.96484375,0.0,0.0
1,|Deep MARL-MR Beefy (S)_model_3,_1_61,4146.7686,41702.625,0.0,0.0
2,|Deep MARL-MR Beefy (S)_model_3,_1_51,4259.37,66021.1796875,0.0,0.0
3,|Deep MARL-MR Beefy (S)_model_3,_1_12,4336.6416,48238.90625,0.0,0.0
4,|Deep MARL-MR Beefy (S)_model_3,_1_6,4347.768,48829.28515625,0.0,0.0
5,|Deep MARL-MR Beefy (S)_model_3,_1_3,4365.432,41642.40625,0.0,0.0
6,|Deep MARL-MR Beefy (S)_model_3,_1_95,4367.2334,51004.265625,0.0,0.0
7,|Deep MARL-MR Beefy (S)_model_3,_1_45,4393.2627,41545.8046875,0.0,0.0
8,|Deep MARL-MR Beefy (S)_model_3,_1_54,4428.863,41494.67578125,0.0,0.0
9,|Deep MARL-MR Beefy (S)_model_3,_1_89,4432.064,52645.2421875,0.0,0.0
10,|Deep MARL-MR Beefy (S)_model_3,_1_31,4433.132,51227.20703125,0.0,0.0
11,|Deep MARL-MR Beefy (S)_model_3,_1_43,4436.715,53800.9375,0.0,0.0
12,|Deep MARL-MR Beefy (S)_model_3,_1_58,4443.5894,27241.75390625,0.0,0.0
13,|Deep MARL-MR Beefy (S)_model_3,_1_56,4443.94,38982.5859375,0.0,0.0
14,|Deep MARL-MR Beefy (S)_model_3,_1_100,4452.419,30552.03515625,0.0,0.0
15,|Deep MARL-MR Beefy (S)_model_3,_1_10,4457.0874,66419.5390625,0.0,0.0
16,|Deep MARL-MR Beefy (S)_model_3,_1_67,4463.5605,55644.203125,0.0,0.0
17,|Deep MARL-MR Beefy (S)_model_3,_1_57,4463.907,35271.90625,0.0,0.0
18,|Deep MARL-MR Beefy (S)_model_3,_1_93,4473.7266,40569.9453125,0.0,0.0
19,|Deep MARL-MR Beefy (S)_model_3,_1_35,4482.7744,72390.9296875,0.0,0.0
20,|Deep MARL-MR Beefy (S)_model_3,_1_28,4493.6816,67106.3828125,0.0,0.0
21,|Deep MARL-MR Beefy (S)_model_3,_1_15,4502.6963,67490.046875,0.0,0.0
22,|Deep MARL-MR Beefy (S)_model_3,_1_23,4517.259,38801.58984375,0.0,0.0
23,|Deep MARL-MR Beefy (S)_model_3,_1_18,4524.2173,44784.12890625,0.0,0.0
24,|Deep MARL-MR Beefy (S)_model_3,_1_75,4527.213,40769.63671875,0.0,0.0
25,|Deep MARL-MR Beefy (S)_model_3,_1_97,4528.8623,39711.578125,0.0,0.0
26,|Deep MARL-MR Beefy (S)_model_3,_1_14,4532.5503,56546.796875,0.0,0.0
